spot_id,name_ja,name_it,city,day,category,lat,lng,reservation_required,official_url,gmaps_url,recommended_item_or_feature,mime_tip,page_link
castello_sforzesco,スフォルツェスコ城,Castello Sforzesco,Milan,Day 2,sightseeing,45.4705,9.1793,不要（中庭無料・博物館要）,https://www.milanocastello.it/,https://maps.google.com/?q=Castello+Sforzesco+Milano,ミケランジェロ最後の未完の傑作『ロンダニーニのピエタ』が収蔵されたルネサンスの城塞,【みめTip】広大な中庭は散策自由で無料。正面の大噴水前は記念撮影に絶好のフォトスポットです,day2.html
luini_panzerotti,ルイーニ (名物パンツェロッティ),Luini Panzerotti,Milan,Day 2,dining,45.4656,9.1925,不要（テイクアウト行列店）,https://www.luini.it/,https://maps.google.com/?q=Luini+Panzerotti+Milano,1888年創業の老舗。熱々とろ〜りモッツァレラ＆トマトの揚げ包みピザ（Panzerotto Pomodoro e Mozzarella）は絶品！,【みめTip】行列でも回転は超高速（5分程度）。出来立ては中のチーズが超熱いので一口目は慎重に！ウェットティッシュ必須,free-meal-guide.html
rinascente_milan,リナシェンテ ミラノ旗艦店,Rinascente Milano Piazza Duomo,Milan,Day 2,souvenir,45.4651,9.1932,不要,https://www.rinascente.it/,https://maps.google.com/?q=Rinascente+Milano+Piazza+Duomo,最上階フードホールには高級オリーブオイル、バルサミコ酢、イタリアチョコが勢揃い。ドゥオーモのテラスを眺めるカフェも,【みめTip】7階のフードマーケットはお土産の宝庫。綺麗なトイレ（有料/無料）もあり、ドゥオーモ観光時の休憩拠点に最適,souvenir-guide.html
verona_arena,アレーナ・ディ・ヴェローナ (古代円形闘技場),Arena di Verona,Verona,Day 2,sightseeing,45.439,10.9944,不要（外観見学）,https://www.arena.it/,https://maps.google.com/?q=Arena+di+Verona,紀元1世紀建造の古代ローマ円形闘技場。夏期は世界最高峰の野外オペラ祭の舞台となる音楽の聖地,【みめTip】ブラ広場から見るピンク色の大理石の外壁が壮麗。広場沿いには美しいカフェテラスが並びます,day2.html
casa_giulietta,ジュリエットの家,Casa di Giulietta,Verona,Day 2,sightseeing,45.4419,10.9984,不要（中庭見学）/ 内部要,https://casadigiulietta.comune.verona.it/,https://maps.google.com/?q=Casa+di+Giulietta+Verona,シェイクスピア『ロミオとジュリエット』の舞台。中庭にあるジュリエット像の右胸に触れると「永遠の愛と幸運」がもたらされるハネムーン必訪スポット！,【みめTip】中庭は入場無料。ジュリエット像の右胸を触って写真を撮るのが世界中の恋人たちの定番儀式！,day2.html
piazza_erbe,エルベ広場,Piazza delle Erbe,Verona,Day 2,sightseeing,45.4429,10.9972,不要,https://www.visitverona.it/,https://maps.google.com/?q=Piazza+delle+Erbe+Verona,かつてのローマ時代のフォーラム跡。フレスコ画が残るマッツァンティの家や露店が立ち並ぶ活気ある美しい広場,【みめTip】広場中央の「マドンナ・ヴェローナの噴水」周辺は屋台やお土産店が並び、散策に最適です,day2.html
piazza_san_marco,サン・マルコ広場,Piazza San Marco,Venice,Day 3,sightseeing,45.4342,12.3385,不要（散策自由）,https://www.comune.venezia.it/,https://maps.google.com/?q=Piazza+San+Marco+Venezia,ナポレオンが「世界で最も美しい客間」と称賛した大広場。回廊の楽団による優雅な生演奏が響きます,【みめTip】秋〜冬はアクア・アルタ（高潮冠水）が起きることがあります。木道（パッセレッラ）が設置されるのでその上を歩きましょう,day3.html
basilica_san_marco,サン・マルコ寺院,Basilica di San Marco,Venice,Day 3,sightseeing,45.4345,12.3397,ツアー入場または現地要,http://www.basilicasanmarco.it/,https://maps.google.com/?q=Basilica+di+San+Marco+Venezia,ビザンティン建築の傑作。黄金に輝く天井モザイク「黄金のパラ・ドーロ」は息をのむ美しさ,【みめTip】大きなリュックサックは持ち込み禁止（近くの手荷物預かり所へ）。肩と膝の露出チェックがあります,day3.html
palazzo_ducale,ドゥカーレ宮殿,Palazzo Ducale,Venice,Day 3,sightseeing,45.4337,12.3404,要（入場時）,https://palazzoducale.visitmuve.it/,https://maps.google.com/?q=Palazzo+Ducale+Venezia,かつてのベネチア共和国総督邸。ティントレット作の世界最大級の油彩画『天国』が飾られた大評議会の間は圧巻,【みめTip】ため息橋の「内部」を通ることができる唯一のルート。牢獄側から見る運河の格子窓からの景色は感慨深いです,day3.html
ponte_dei_sospiri,ため息橋,Ponte dei Sospiri,Venice,Day 3,sightseeing,45.434,12.3408,不要（運河沿いから鑑賞）,https://palazzoducale.visitmuve.it/,https://maps.google.com/?q=Ponte+dei+Sospiri+Venezia,「日没時にこの橋の下でゴンドラに揺られながらキスをした恋人たちは永遠に結ばれる」という伝説があるロマンチックな橋,【みめTip】パリア橋（Ponte della Paglia）の上からため息橋をバックにツーショットを撮るのが一番綺麗です！,day3.html
gondola_station,ゴンドラ遊覧乗り場（バチーノ・オルセオロ）,Stazione Gondole Bacino Orseolo,Venice,Day 3,sightseeing,45.4352,12.3375,ツアー組込 / 現地手配,https://www.gondolavenezia.it/,https://maps.google.com/?q=Bacino+Orseolo+Gondola+Venice,水上から見上げる歴史的宮殿と細い運河の静けさ。ハネムーン最大のハイライト！記念写真のベストアングル,【みめTip】乗船中は急に立ち上がると揺れて危険。船頭さん（ゴンドリエーレ）にスマホを渡して写真を撮ってもらうと最高の構図になります,day3.html
ponte_di_rialto,リアルト橋,Ponte di Rialto,Venice,Day 3,sightseeing,45.438,12.3359,不要,https://www.comune.venezia.it/,https://maps.google.com/?q=Ponte+di+Rialto+Venezia,大運河（カナル・グランデ）に架かる白い大理石の橋。橋上からの大運河のパノラマビューは必見,【みめTip】橋の上は観光客で非常に混雑するためスリに最も警戒が必要！バッグは必ず胸元に抱えて撮影してください,day3.html
caffe_florian,カフェ・フローリアン (1720年創業 イタリア最古のカフェ),Caffè Florian,Venice,Day 3,dining,45.4336,12.3378,不要（直接来店）,https://www.caffeflorian.com/,https://maps.google.com/?q=Caff%C3%A8+Florian+Venezia,カサノヴァやゲーテも通った世界最古のカフェ。銀のトレイでサーブされるカフェラテやホットチョコレート、クラシカルな室内装飾でハネムーンの乾杯を,【みめTip】テラス席はオーケストラ演奏料（1人約€6）が加算されます。優雅な気分を味わうなら店内席またはテラス席で名物カフェラテを！,free-meal-guide.html
cantina_do_mori,カンティーナ・ド・モーリ (1462年創業の最古バカロ),Cantina Do Mori,Venice,Day 3,dining,45.4384,12.3347,不要（立ち飲みバカロ）,https://www.cantinadomori.com/,https://maps.google.com/?q=Cantina+Do+Mori+Venice,銅鍋が天井から無数に吊るされた風情ある名店。プロセッコやオンブラ（ハウスワイン）と小皿料理「チケッティ（小蛸のマリネ、バッカラ・マンテカート等）」を手軽に満喫,"【みめTip】指差しで「Questo, per favore（これをお願い）」で通じます。プロセッコ1杯＋チケッティ2品で€8前後とお手頃！",free-meal-guide.html
murano_glass_shop,ベネチアングラス専門店（ヴェニーニ等）,Venini & Murano Glass Masters,Venice,Day 3,souvenir,45.435,12.337,不要,https://www.venini.com/,https://maps.google.com/?q=Murano+Glass+Piazza+San+Marco,マエストロの熟練の技が光るペアワイングラス、ミルフィオリのペンダント、美しい花瓶など新婚生活を彩る記念品に最適,【みめTip】「Vetro Artistico Murano」の商標シールが本物の証。安価な中国製イミテーションに注意しましょう,souvenir-guide.html
duomo_firenze,サンタ・マリア・デル・フィオーレ大聖堂 (花の聖母マリア),Cattedrale di Santa Maria del Fiore (Duomo di Firenze),Florence,Day 4,sightseeing,43.7731,11.256,大聖堂入場無料/クーポラ要予約,https://duomo.firenze.it/,https://maps.google.com/?q=Cattedrale+di+Santa+Maria+del+Fiore+Firenze,白・緑・ピンクの大理石で彩られたルネサンスの象徴。ブルネレスキ設計の巨大クーポラは映画『冷静と情熱のあいだ』の舞台としても有名,【みめTip】大聖堂内は入場無料ですが長蛇の列。クーポラ登頂は完全予約制（463段の階段）なので体力と足元スニーカーが必須です,day4.html
campanile_giotto,ジョットの鐘楼,Campanile di Giotto,Florence,Day 4,sightseeing,43.7729,11.2556,要（登頂時）,https://duomo.firenze.it/,https://maps.google.com/?q=Campanile+di+Giotto+Firenze,高さ約84mの優美な鐘楼。外観の彫刻群と幾何学模様が美しく、ドゥオーモのすぐ隣に佇みます,【みめTip】414段の階段を登ると、クーポラそのものを正面から見下ろす絶景写真が撮れます！,day4.html
piazza_signoria,シニョーリア広場 ＆ ヴェッキオ宮殿,Piazza della Signoria & Palazzo Vecchio,Florence,Day 4,sightseeing,43.7696,11.2558,広場自由 / 宮殿入場要,https://cultura.comune.fi.it/pagina/musei-civici-fiorentini/palazzo-vecchio,https://maps.google.com/?q=Piazza+della+Signoria+Firenze,ミケランジェロの『ダヴィデ像』（レプリカ）やネプチューンの噴水など、野外彫刻美術館のような歴史ある広場,【みめTip】広場に面したロッジア・デイ・ランツィ（回廊）の彫刻群は無料で見学可能。休憩にも良いスポットです,day4.html
galleria_uffizi,ウフィツィ美術館,Galleria degli Uffizi,Florence,Day 4,sightseeing,43.7678,11.2553,要事前予約推奨（午後自由行動時）,https://www.uffizi.it/,https://maps.google.com/?q=Galleria+degli+Uffizi+Firenze,ボッティチェッリ『ヴィーナスの誕生』『春（プリマヴェーラ）』、レオナルド・ダ・ヴィンチ『受胎告知』など世界最高峰のルネサンス絵画の宝庫,【みめTip】予約なしでは2時間以上並びます！事前予約バウチャーの引き換え窓口（Door 3）へ15分前に向かいましょう,day4.html
ponte_vecchio,ポンテ・ヴェッキオ (ヴェッキオ橋),Ponte Vecchio,Florence,Day 4,sightseeing,43.7679,11.2531,不要,https://www.feelflorence.it/,https://maps.google.com/?q=Ponte+Vecchio+Firenze,アルノ川に架かるフィレンツェ最古の橋。橋上には伝統的な金銀細工・ジュエリー店が並び、ハネムーンの記念ジュエリー選びにぴったり,【みめTip】橋の中央にあるチェッリーニ像のフェンス周辺は絶好の記念撮影ポイント。夕暮れ時は特にロマンチックです,day4.html
piazzale_michelangelo,ミケランジェロ広場,Piazzale Michelangelo,Florence,Day 4,sightseeing,43.7628,11.265,不要（タクシーまたはバス利用推奨）,https://www.feelflorence.it/,https://maps.google.com/?q=Piazzale+Michelangelo+Firenze,フィレンツェ市内を一望できる丘の上の展望広場。夕暮れ時に赤く染まるドゥオーモとポンテ・ヴェッキオの眺望は感動必至！,【みめTip】ツアーで訪れる絶景フォトスポット。階段に座って夕陽を眺める時間はハネムーン最高の思い出になります,day4.html
trattoria_zaza,トラットリア・ザザ (名物Tボーンステーキ),Trattoria Zà Zà,Florence,Day 4,dining,43.7766,11.2535,要予約推奨（公式サイトよりオンライン可）,https://www.trattoriazaza.it/,https://maps.google.com/?q=Trattoria+ZaZa+Firenze,炭火で豪快に焼き上げる本場「ビステッカ・アッラ・フィオレンティーナ（1kg〜）」。トスカーナの赤ワイン（キャンティ）と合わせてお二人でシェア！,【みめTip】焼き加減は「al sangue（レア）」が本場の指定。お肉が大きいのでパスタは1皿をシェアするか前菜を軽めにするのがコツ！,free-meal-guide.html
farmacia_santa_maria_novella,サンタ・マリア・ノヴェッラ薬局 (世界最古の薬局),Officina Profumo-Farmaceutica di Santa Maria Novella,Florence,Day 4,souvenir,43.7744,11.2483,不要（美術館のような店内）,https://buy.smnovella.com/,https://maps.google.com/?q=Officina+Profumo-Farmaceutica+di+Santa+Maria+Novella+Firenze,1221年創業。カテリーナ・ディ・メディチが愛した香水「アックア・デッラ・レジーナ（王妃の水）」やローズウォーター、ソープなどハネムーン最高のギフト,【みめTip】店内はまるで貴族の館の美術館！日本語の商品カタログがあり、€70.01以上でその場で免税書類を作成してくれます,souvenir-guide.html
pisa_torre,ピサの斜塔,Torre di Pisa (Torre Pendente),Pisa,Day 4,sightseeing,43.723,10.3966,要（オプショナルツアー組込または事前Web予約）,https://www.opapisa.it/,https://maps.google.com/?q=Torre+di+Pisa,約4度傾斜した世界遺産の白大理石鐘楼。お二人で塔を支えたり押したりするお茶目なハネムーン記念トリック写真は鉄板！,【みめTip】斜塔内部は荷物持ち込み不可（無料クロークに預ける）。ポケットに入るスマホ・カメラのみOK。階段は傾きを感じて不思議な感覚！,day4.html
piazza_cisterna,チステルナ広場,Piazza della Cisterna,San Gimignano,Day 5,sightseeing,43.4677,11.0431,不要,https://www.comune.sangimignano.si.it/,https://maps.google.com/?q=Piazza+della+Cisterna+San+Gimignano,中央に八角形の古井戸（チステルナ）が佇む中世の石畳広場。周囲を取り囲む中世貴族の塔がタイムスリップしたような美しさ,【みめTip】井戸の周りの石段に腰掛けてドンドリのジェラートを食べるのがサンジミニャーノ定番の至福の過ごし方！,day5.html
gelateria_dondoli,ジェラテリア・ドンドリ (ジェラート世界チャンピオン),Gelateria Dondoli (Campione del Mondo),San Gimignano,Day 5,dining,43.4678,11.043,不要（行列必至）,https://www.gelateriadondoli.com/,https://maps.google.com/?q=Gelateria+Dondoli+San+Gimignano,世界ジェラート大会で連覇した世界最高峰の味！名物「クレーマ・ディ・サンタ・フィナ（サフランと松の実）」や「ヴェルナッチャワイン風味」は絶品,【みめTip】先に入り口レジでサイズ（カップorコーン、ダブル等）を会計し、レシートを奥のジェラート職人に渡して味を指定します！,free-meal-guide.html
basilica_san_pietro,サン・ピエトロ大聖堂 (バチカン市国),Basilica Papale di San Pietro in Vaticano,Vatican City,Day 5,sightseeing,41.9022,12.4539,入場無料（手荷物検査列あり・早朝推奨）,https://www.vatican.va/,https://maps.google.com/?q=Basilica+di+San+Pietro+Vaticano,カトリックの総本山。ミケランジェロ24歳の傑作『ピエタ像』、ベルニーニ設計の天蓋（バルダッキーノ）、壮大なパイプオルガンと聖なる響き,【みめTip】入場無料ですが手荷物検査で30分〜1時間並びます。肩・膝の露出は厳禁。毎日17:00の夕のミサは聖歌隊の生合唱が聴けます！,day5.html
trevi_fountain,トレビの泉,Fontana di Trevi,Rome,Day 5,sightseeing,41.9009,12.4833,不要,https://www.turismoroma.it/,https://maps.google.com/?q=Trevi+Fountain+Rome,後ろ向きに右手で左肩越しにコインを投げると「再びローマに戻れる」、2枚投げると「大切な人と一生一緒にいられる」という愛の伝説！,【みめTip】夜のライトアップは息をのむ美しさ！ただしローマで最もスリが多発する場所なので、写真を撮る際も手荷物は必ず前に抱えましょう,day5.html
piazza_di_spagna,スペイン広場 ＆ スペイン階段,Piazza di Spagna & Scalinata di Trinità dei Monti,Rome,Day 5,sightseeing,41.9059,12.4828,不要,https://www.turismoroma.it/,https://maps.google.com/?q=Piazza+di+Spagna+Rome,映画『ローマの休日』の舞台。階段上からのローマの夕景や、広場前のコンドッティ通りでの高級ブランド散策が楽しめます,【みめTip】現在スペイン階段での飲食や座り込みは条例で禁止（罰金対象）。階段は歩行鑑賞し、頂上のトリニタ・デイ・モンティ教会前から絶景を撮影！,day5.html
vatican_museums,バチカン美術館 ＆ システィーナ礼拝堂,Musei Vaticani & Cappella Sistina,Vatican City,Day 6,sightseeing,41.9065,12.4536,要予約（ツアーOPまたは事前Web予約必須）,https://www.museivaticani.va/,https://maps.google.com/?q=Vatican+Museums,ミケランジェロの不朽の名作『天地創造』『最後の審判』、ラファエロの間『アテナイの学堂』など人類の至宝,【みめTip】システィーナ礼拝堂内は完全撮影禁止・私語厳禁。見学時間は2.5〜3時間は確保しましょう,day6.html
colosseum,コロッセオ (古代ローマ円形闘技場),Colosseo (Anfiteatro Flavio),Rome,Day 6,sightseeing,41.8902,12.4922,要予約（ツアーOPまたは事前Web予約必須）,https://colosseo.it/,https://maps.google.com/?q=Colosseum+Rome,約5万人を収容した古代ローマ最大の円形闘技場。外観の圧倒的な迫力と内部のアリーナ構造は必見,【みめTip】周辺で古代ローマ剣闘士の格好をした人と写真を撮ると法外なチップを請求されます。関わらずスルーしましょう,day6.html
pantheon,パンテオン (万神殿),Pantheon (Santa Maria ad Martyres),Rome,Day 6,sightseeing,41.8986,12.4769,要予約（土日祝有料・Web予約）,https://www.pantheonroma.com/,https://maps.google.com/?q=Pantheon+Rome,紀元前27年創建、約2000年間そのまま残る古代ローマ建築の奇跡。天窓（オクルス）から差し込む光の美しさと内部の素晴らしい音響,【みめTip】入場料€5。晴れた正午頃は天窓から差し込む光が床を丸く照らして神秘的。ラファエロのお墓もお見逃しなく,day6.html
piazza_navona,ナヴォーナ広場,Piazza Navona,Rome,Day 6,sightseeing,41.8992,12.4731,不要,https://www.turismoroma.it/,https://maps.google.com/?q=Piazza+Navona+Rome,ベルニーニ作『四大河の噴水』が中央に立つバロック様式の美しい広場。カフェテラスでのんびり過ごすのに最適,【みめTip】広場沿いのテラスカフェで休憩する際は「座席料金」が含まれるのでレシートを確認。ジェラート食べ歩きも最高です,day6.html
bocca_della_verita,真実の口 (サンタ・マリア・イン・コスメディン教会),Bocca della Verità,Rome,Day 6,sightseeing,41.8882,12.4815,不要（寸志/寄付€2）,https://www.turismoroma.it/,https://maps.google.com/?q=Bocca+della+Verita+Rome,映画『ローマの休日』で有名な大理石の古代彫刻。手を入れて笑顔で記念撮影を！,【みめTip】撮影待ちの列（10〜20分）ができます。係員にカメラを渡すとツーショットを撮ってくれます。教会の奥には聖バレンタインの頭蓋骨遺骨も祀られています,day6.html
pompi_tiramisu,ポンピ (ローマで一番有名なティラミス専門店),Pompi Tiramisù,Rome,Day 6,dining,41.9056,12.4819,不要,https://www.barpompi.it/,https://maps.google.com/?q=Pompi+Tiramisu+Via+della+Croce+Rome,「Il Regno del Tiramisù（ティラミスの王国）」と呼ばれる名店。定番クラシコやストロベリーティラミスを食べ歩き,【みめTip】箱入りでスプーン付き（約€5）。スペイン広場近くの店舗で買ってホテルや広場近くのベンチで食べるのが最高！,free-meal-guide.html
castroni_food,カストローニ (創業1932年 ローマ屈指の高級食材・珈琲店),Castroni Bottega del Gusto,Rome,Day 6,souvenir,41.909,12.457,不要,https://www.castronicoladirienzo.com/,https://maps.google.com/?q=Castroni+Via+Cola+di+Rienzo+Rome,バチカン近くの名店。オリジナル焙煎コーヒー豆、上質オリーブオイル、ドライトマト、トリュフペーストなどお土産の宝庫,【みめTip】自家焙煎のコーヒー豆（粉に挽いてもらうことも可能）やトリュフ塩は軽くて喜ばれる鉄板お土産！,souvenir-guide.html
sec_alert_termini,【⚠️ 治安注意】ローマ・テルミニ駅構内 ＆ 周辺,Stazione Termini (Pickpocket Alert Zone),Rome,Day 5-7,security_alert,41.901,12.5015,注意,https://www.poliziadistato.it/,https://maps.google.com/?q=Roma+Termini,ローマ最大のターミナル駅。切符売り場や乗降口でのスリ・置き引き多発地帯,【みめ厳重警戒】券売機で手伝うフリをしてお釣りや財布を盗む手口に注意！不審者に話しかけられても完全に無視し、荷物から手を離さないこと,beginner-guide.html
sec_alert_metro,【⚠️ 治安注意】ローマ地下鉄（Metro A線/B線 車内）,Metro Roma (Pickpocket Alert Zone),Rome,Day 6,security_alert,41.8905,12.493,注意,https://www.atac.roma.it/,https://maps.google.com/?q=Metro+Colosseo+Rome,特にテルミニ〜コロッセオ、テルミニ〜スパーニャ間の混雑車内,【みめ厳重警戒】乗降時の押し合い（サンドイッチスリ）に注意！リュックは必ず体の前で抱え、ファスナーを指で押さえて乗車してください,beginner-guide.html
sec_alert_trevi,【⚠️ 治安注意】トレビの泉 人混みエリア,Fontana di Trevi (Crowded Alert Zone),Rome,Day 5-6,security_alert,41.9012,12.4835,注意,https://www.turismoroma.it/,https://maps.google.com/?q=Fontana+di+Trevi+Rome,泉の前でコインを投げる瞬間や写真撮影時の隙を狙うスリ,【みめ厳重警戒】撮影に夢中になっている背後からポケットやバッグに手を入れられます。パートナーとお互いの周囲を見守り合いましょう,beginner-guide.html
sec_alert_duomo_square,【⚠️ 治安注意】ミラノ・ドゥオーモ前広場,Piazza del Duomo Milano (Scam Alert),Milan,Day 2,security_alert,45.464,9.189,注意,https://www.poliziadistato.it/,https://maps.google.com/?q=Piazza+del+Duomo+Milano,ハトの餌やり詐欺、ミサンガ（友情のブレスレット）押し売り,【みめ厳重警戒】「無料だよ」「プレゼント」と言って手にミサンガを巻きつけたりハトの餌を握らせて高額請求してきます。「No!」と手を引っ込めて立ち去ること,beginner-guide.html
sec_alert_rialto,【⚠️ 治安注意】ベネチア・リアルト橋 ＆ ヴァポレット乗り場,Ponte di Rialto (Pickpocket Alert Zone),Venice,Day 3,security_alert,45.4382,12.3362,注意,https://www.comune.venezia.it/,https://maps.google.com/?q=Ponte+di+Rialto+Venice,橋の階段や水上バス乗降時の混雑を狙ったスリ,【みめ厳重警戒】景色に見とれている間にバッグを開けられます。ファスナーロックやセキュリティポーチを活用してください,beginner-guide.html
beg_eataly_rome,【🔰 初心者おすすめ】イータリー・ローマ (食の殿堂),Eataly Roma Ostiense,Rome,Day 6,beginner_spot,41.869,12.4855,不要,https://www.eataly.net/it_it/negozi/roma,https://maps.google.com/?q=Eataly+Roma+Ostiense,全4フロアの巨大イタリア食材モール。英語・カード完全対応で初心者も安心！,【みめ大推薦】お土産のまとめ買いに最も安心な場所！価格も明瞭で、オリーブオイル、パスタ、チーズ、お菓子がすべて揃い、免税手続きも1箇所で完了します,souvenir-guide.html
beg_sant_eustachio,【🔰 初心者おすすめ】サンテウスタキオ・イル・カッフェ,Sant'Eustachio Il Caffè,Rome,Day 6,beginner_spot,41.898,12.4745,不要,https://www.santeustachioilcaffe.it/,https://maps.google.com/?q=Sant+Eustachio+Il+Caffe+Rome,1938年創業。秘密の泡立ち「グラン・カフェ」が味わえるローマを代表する名門バール,"【みめ大推薦】イタリアのバール初心者でも安心。レジで「Un Gran Caffè, per favore」と頼み、レシートをカウンターのバリスタに渡すだけで絶品エスプレッソが楽しめます！",free-meal-guide.html
h_plaza_mestre,ホテル プラザ (Hotel Plaza Mestre),Hotel Plaza Mestre,Mestre (Venice),Day 2,hotel,45.4828,12.2323,ツアー手配（宿泊ホテル候補）,https://www.his-j.com/,https://maps.google.com/?q=Hotel+Plaza+Mestre,"Viale Stazione, 36, 30171 Mestre, Venezia",メストレ駅前すぐ！本島行きバス・電車に直結した大型快適スーペリアホテル。,day2.html
h_leonardo_mestre,レオナルド ロイヤル ホテル ベネチア メストレ,Leonardo Royal Hotel Venice Mestre,Mestre (Venice),Day 2,hotel,45.4815,12.2348,ツアー手配（宿泊ホテル候補）,https://www.his-j.com/,https://maps.google.com/?q=Leonardo+Royal+Hotel+Venice+Mestre,"Via Ca' Marcello, 8L, 30172 Mestre, Venezia",モダンで上質な4つ星スーペリア。清潔感と充実した設備がハネムーンに好評。,day2.html
h_bologna_mestre,ベストウェスタン プラス ホテル ボローニャ,Best Western Plus Hotel Bologna,Mestre (Venice),Day 2,hotel,45.4831,12.233,ツアー手配（宿泊ホテル候補）,https://www.his-j.com/,https://maps.google.com/?q=Best+Western+Plus+Hotel+Bologna+Mestre,"Via Piave, 214, 30171 Mestre, Venezia",メストレ駅正面。落ち着いたインテリアと美味しい朝食が人気。,day2.html
h_nh_laguna,NH ベネチア ラグーナ パレス,NH Venezia Laguna Palace,Mestre (Venice),Day 2,hotel,45.482,12.253,ツアー手配（宿泊ホテル候補）,https://www.his-j.com/,https://maps.google.com/?q=NH+Venezia+Laguna+Palace,"Viale Ancona, 2, 30172 Mestre, Venezia",近代的なラグーナマリーナ沿いホテル。広々とした客室で快適滞在。,day2.html
