spot_id,name_ja,name_it,city,day,category,lat,lng,reservation_required,official_url,gmaps_url,recommended_item_or_feature,page_link
ponte_dei_sospiri,ため息橋,Ponte dei Sospiri,Venice,Day 3,sightseeing,45.434,12.3408,不要（運河沿いから鑑賞）,https://palazzoducale.visitmuve.it/,https://maps.google.com/?q=Ponte+dei+Sospiri+Venezia,「日没時にこの橋の下でゴンドラに揺られながらキスをした恋人たちは永遠に結ばれる」という伝説があるロマンチックな橋,day3.html
gondola_station,ゴンドラ遊覧乗り場（バチーノ・オルセオロ）,Stazione Gondole Bacino Orseolo,Venice,Day 3,sightseeing,45.4352,12.3375,ツアー組込 / 現地手配,https://www.gondolavenezia.it/,https://maps.google.com/?q=Bacino+Orseolo+Gondola+Venice,水上から見上げる歴史的宮殿と細い運河の静けさ。ハネムーン最大のハイライト！記念写真のベストアングル,day3.html
ponte_di_rialto,リアルト橋,Ponte di Rialto,Venice,Day 3,sightseeing,45.438,12.3359,不要,https://www.comune.venezia.it/,https://maps.google.com/?q=Ponte+di+Rialto+Venezia,大運河（カナル・グランデ）に架かる白い大理石の橋。橋上からの大運河のパノラマビューは必見,day3.html
caffe_florian,カフェ・フローリアン (1720年創業 イタリア最古のカフェ),Caffè Florian,Venice,Day 3,dining,45.4336,12.3378,不要（直接来店）,https://www.caffeflorian.com/,https://maps.google.com/?q=Caff%C3%A8+Florian+Venezia,カサノヴァやゲーテも通った世界最古のカフェ。銀のトレイでサーブされるカフェラテやホットチョコレート、クラシカルな室内装飾でハネムーンの乾杯を,free-meal-guide.html
cantina_do_mori,カンティーナ・ド・モーリ (1462年創業の最古バカロ),Cantina Do Mori,Venice,Day 3,dining,45.4384,12.3347,不要（立ち飲みバカロ）,https://www.cantinadomori.com/,https://maps.google.com/?q=Cantina+Do+Mori+Venice,銅鍋が天井から無数に吊るされた風情ある名店。プロセッコやオンブラ（ハウスワイン）と小皿料理「チケッティ（小蛸のマリネ、バッカラ・マンテカート等）」を手軽に満喫,free-meal-guide.html
murano_glass_shop,ベネチアングラス専門店（ヴェニーニ等）,Venini & Murano Glass Masters,Venice,Day 3,souvenir,45.435,12.337,不要,https://www.venini.com/,https://maps.google.com/?q=Murano+Glass+Piazza+San+Marco,マエストロの熟練の技が光るペアワイングラス、ミルフィオリのペンダント、美しい花瓶など新婚生活を彩る記念品に最適,souvenir-guide.html
hotel_florence,ホテル（フィレンツェ宿泊地）,Hotel Florence Area (Superior Class),Florence,Day 3,hotel,43.776,11.248,ツアー予約済（連泊・ダブルベッド確約）,https://www.his-j.com/,https://maps.google.com/?q=Florence+Hotel,フィレンツェ2連泊の拠点。荷物を広げたままゆったりと観光できる快適ホテル,day4.html
duomo_firenze,サンタ・マリア・デル・フィオーレ大聖堂 (花の聖母マリア),Cattedrale di Santa Maria del Fiore (Duomo di Firenze),Florence,Day 4,sightseeing,43.7731,11.256,大聖堂入場無料/クーポラ要予約,https://duomo.firenze.it/,https://maps.google.com/?q=Cattedrale+di+Santa+Maria+del+Fiore+Firenze,白・緑・ピンクの大理石で彩られたルネサンスの象徴。ブルネレスキ設計の巨大クーポラは街のシンボル,day4.html
campanile_giotto,ジョットの鐘楼,Campanile di Giotto,Florence,Day 4,sightseeing,43.773,11.2558,要（共通チケット）,https://duomo.firenze.it/,https://maps.google.com/?q=Campanile+di+Giotto+Firenze,414段の階段を登ると、目の前に大聖堂の巨大なクーポラとフィレンツェの赤い屋根瓦の街並みが広がります,day4.html
piazza_signoria,シニョーリア広場 ＆ ヴェッキオ宮殿,Piazza della Signoria & Palazzo Vecchio,Florence,Day 4,sightseeing,43.7694,11.2562,広場無料/宮殿要,https://cultura.comune.fi.it/,https://maps.google.com/?q=Piazza+della+Signoria+Firenze,野外彫刻美術館のような広場。ミケランジェロのダビデ像（レプリカ）やネプチューンの噴水が並びます,day4.html
ponte_vecchio,ポンテ・ヴェッキオ (ヴェッキオ橋),Ponte Vecchio,Florence,Day 4,sightseeing,43.768,11.2531,不要,https://www.comune.fi.it/,https://maps.google.com/?q=Ponte+Vecchio+Firenze,アルノ川に架かるフィレンツェ最古の橋。橋上には伝統的な金銀細工店が並び、ハネムーンのジュエリー探しにも最適,day4.html
uffizi_gallery,ウフィツィ美術館,Galleria degli Uffizi,Florence,Day 4,sightseeing,43.7678,11.2553,要予約（ツアーOPまたは事前手配推奨）,https://www.uffizi.it/,https://maps.google.com/?q=Gallerie+degli+Uffizi+Firenze,ボッティチェリ『ヴィーナスの誕生』『春』、ダ・ヴィンチ『受胎告知』などルネサンス最高峰の至宝が集結,day4.html
pisa_tower,ピサの斜塔 ＆ 奇跡の広場 (ドゥオーモ広場),Torre di Pisa & Piazza dei Miracoli,Pisa,Day 4,sightseeing,43.723,10.3966,斜塔登頂要（OPツアーあり）,https://www.opapisa.it/,https://maps.google.com/?q=Leaning+Tower+of+Pisa,世界で最も有名な傾いた鐘楼。新婚旅行定番の「斜塔を支える」「つまむ」トリック写真は一生の思い出に！,day4.html
piazzale_michelangelo,ミケランジェロ広場,Piazzale Michelangelo,Florence,Day 4,sightseeing,43.7629,11.265,不要（絶景展望スポット）,https://www.comune.fi.it/,https://maps.google.com/?q=Piazzale+Michelangelo+Firenze,フィレンツェの街並みとアルノ川、ドゥオーモを一望できる屈指のパノラマ展望台。夕暮れ時は息をのむ絶景,day4.html
trattoria_zaza,トラットリア・ザザ (名物ビステッカ・アッラ・フィオレンティーナ),Trattoria ZaZa,Florence,Day 4,dining,43.7766,11.2536,推奨（人気店）,https://www.trattoriazaza.it/,https://maps.google.com/?q=Trattoria+ZaZa+Firenze,炭火で豪快に焼き上げるTボーンステーキ（1kg〜、二人でシェアが定番）。トリュフパスタやトスカーナワインと共に至福のディナーを,free-meal-guide.html
santa_maria_novella,サンタ・マリア・ノヴェッラ薬局 (世界最古の薬局),Officina Profumo-Farmaceutica di Santa Maria Novella,Florence,Day 4,souvenir,43.7745,11.2482,不要,https://www.smnovella.com/,https://maps.google.com/?q=Officina+Profumo-Farmaceutica+di+Santa+Maria+Novella,1221年起源の薬局。歴史ある修道院のサロンのような美しい店内で、名香『王妃の水』、ポプリ、ローズウォーターなど極上のギフトを,souvenir-guide.html
piazza_cisterna,チステルナ広場 (井戸の広場),Piazza della Cisterna,San Gimignano,Day 5,sightseeing,43.4677,11.0433,不要,https://www.comune.sangimignano.si.it/,https://maps.google.com/?q=Piazza+della+Cisterna+San+Gimignano,中世の井戸を中心に石畳と古い貴族の塔が囲む美しい広場。中世にタイムスリップしたような風情,day5.html
torre_grossa,グロッサの塔 ＆ ポポロ宮,Torre Grossa & Palazzo del Popolo,San Gimignano,Day 5,sightseeing,43.468,11.0428,要（塔登頂時）,https://www.comune.sangimignano.si.it/,https://maps.google.com/?q=Torre+Grossa+San+Gimignano,町で最も高い54mの塔。頂上からはトスカーナの美しいオリーブ畑とぶどう畑のパノラマが一望できます,day5.html
gelateria_dondoli,ジェラテリア・ドンドリ (世界チャンピオンのジェラート),Gelateria Dondoli,San Gimignano,Day 5,dining,43.4676,11.0434,不要（行列店）,https://www.gelateriadondoli.com/,https://maps.google.com/?q=Gelateria+Dondoli+San+Gimignano,ジェラート世界大会で2連覇した名匠ドンドリ氏の店。サフラン＆松の実の「Crema di Santa Fina」やヴェルナッチャワイン風味はここでしか味わえない絶品,free-meal-guide.html
sangimignano_souvenir,トスカーナ特産品店（サフラン・ワイン・オリーブ木工品）,Tuscan Specialties & Vernaccia Wine,San Gimignano,Day 5,souvenir,43.4675,11.043,不要,https://www.vernaccia.it/,https://maps.google.com/?q=San+Gimignano+Wine+Shop,特産のサフラン、白ワイン「ヴェルナッチャ・ディ・サン・ジミニャーノ（DOCG）」、オリーブの木で作られたキッチン用品など,souvenir-guide.html
hotel_rome,ホテル（ローマ・テルミニ駅周辺宿泊地）,Hotel Rome Termini Area (Superior Class),Rome,Day 5,hotel,41.9014,12.5008,ツアー予約済（2連泊・ダブルベッド確約）,https://www.his-j.com/,https://maps.google.com/?q=Rome+Termini+Hotel,観光や自由行動に抜群に便利なテルミニ駅周辺ホテル。ゆったり2連泊でローマを満喫,day5.html
trevi_fountain,トレビの泉,Fontana di Trevi,Rome,Day 5,sightseeing,41.9009,12.4833,不要,https://www.turismoroma.it/,https://maps.google.com/?q=Trevi+Fountain+Rome,後ろ向きに右手で左肩越しにコインを投げると「再びローマに戻れる」、2枚投げると「大切な人と一生一緒にいられる」という愛の伝説！,day5.html
piazza_di_spagna,スペイン広場 ＆ スペイン階段,Piazza di Spagna & Scalinata di Trinità dei Monti,Rome,Day 5,sightseeing,41.9059,12.4828,不要,https://www.turismoroma.it/,https://maps.google.com/?q=Piazza+di+Spagna+Rome,映画『ローマの休日』の舞台。階段上からのローマの夕景や、広場前のコンドッティ通りでのウィンドーショッピングが楽しめます,day5.html
san_pietro_basilica,サン・ピエトロ大聖堂 (バチカン市国),Basilica Papale di San Pietro in Vaticano,Vatican City,Day 5,sightseeing,41.9022,12.4539,入場無料（手荷物検査あり・服装規定注意）,https://www.vatican.va/,https://maps.google.com/?q=St.+Peter%27s+Basilica+Vatican,カトリックの総本山。ミケランジェロ24歳の傑作『ピエタ』像、ベルニーニの大天蓋（バルダッキーノ）など神聖な空間,day5.html
piazza_san_pietro,サン・ピエトロ広場,Piazza San Pietro,Vatican City,Day 5,sightseeing,41.9022,12.4568,不要,https://www.vatican.va/,https://maps.google.com/?q=St+Peter%27s+Square+Vatican,ベルニーニ設計の巨大な楕円形広場。284本のドーリア式円柱が「信者を両腕で抱きかかえる」ように並びます,day5.html
vatican_museums,バチカン美術館 ＆ システィーナ礼拝堂,Musei Vaticani & Cappella Sistina,Vatican City,Day 6,sightseeing,41.9065,12.4536,要予約（ツアーOPまたは事前Web予約必須）,https://www.museivaticani.va/,https://maps.google.com/?q=Vatican+Museums,ミケランジェロの不朽の名作『天地創造』『最後の審判』、ラファエロの間『アテナイの学堂』など人類の至宝,day6.html
colosseum,コロッセオ (古代ローマ円形闘技場),Colosseo (Anfiteatro Flavio),Rome,Day 6,sightseeing,41.8902,12.4922,要予約（ツアーOPまたは事前Web予約必須）,https://colosseo.it/,https://maps.google.com/?q=Colosseum+Rome,約5万人を収容した古代ローマ最大の円形闘技場。外観の圧倒的な迫力と内部のアリーナ構造は必見,day6.html
pantheon,パンテオン (万神殿),Pantheon (Santa Maria ad Martyres),Rome,Day 6,sightseeing,41.8986,12.4769,要予約（土日祝有料・Web予約）,https://www.pantheonroma.com/,https://maps.google.com/?q=Pantheon+Rome,紀元前27年創建、約2000年間そのまま残る古代ローマ建築の奇跡。天窓（オクルス）から差し込む光の美しさと内部の素晴らしい音響,day6.html
piazza_navona,ナヴォーナ広場,Piazza Navona,Rome,Day 6,sightseeing,41.8992,12.4731,不要,https://www.turismoroma.it/,https://maps.google.com/?q=Piazza+Navona+Rome,ベルニーニ作『四大河の噴水』が中央に立つバロック様式の美しい広場。カフェテラスでのんびり過ごすのに最適,day6.html
san_luigi_chiesa,サン・ルイジ・デイ・フランチェージ教会 (カラヴァッジョ三部作),Chiesa di San Luigi dei Francesi,Rome,Day 6,sightseeing,41.8998,12.4746,不要（入場無料）,https://saintlouis-rome.net/,https://maps.google.com/?q=San+Luigi+dei+Francesi+Rome,音楽・芸術を愛するお二人に捧ぐ教会。カラヴァッジョの名作『聖マタイの召命』三部作が無料で鑑賞できます,rome-free-day-guide.html
chiesa_sant_ignazio,サンティニャツィオ教会 (だまし絵天井画 ＆ 素晴らしい音響空間),Chiesa di Sant'Ignazio di Loyola,Rome,Day 6,sightseeing,41.8992,12.4797,不要（入場無料）,https://santignazio.gesuiti.it/,https://maps.google.com/?q=Sant%27Ignazio+Rome,アンドレア・ポッツォによる圧巻の天井だまし絵（クーポラのように見える平面画）。合唱やパイプオルガンの豊かな残響を持つ名教会,rome-free-day-guide.html
bocca_della_verita,真実の口 (サンタ・マリア・イン・コスメディン教会),Bocca della Verità,Rome,Day 6,sightseeing,41.8882,12.4815,不要（寸志/寄付）,https://www.turismoroma.it/,https://maps.google.com/?q=Bocca+della+Verita+Rome,映画『ローマの休日』で有名な大理石の古代彫刻。手を入れて笑顔で記念撮影を！,day6.html
pompi_tiramisu,ポンピ (ローマで一番有名なティラミス専門店),Pompi Tiramisù,Rome,Day 6,dining,41.9056,12.4819,不要,https://www.barpompi.it/,https://maps.google.com/?q=Pompi+Tiramisu+Via+della+Croce+Rome,「Il Regno del Tiramisù（ティラミスの王国）」と呼ばれる名店。定番クラシコやストロベリーティラミスを食べ歩き,free-meal-guide.html
castroni_food,カストローニ (創業1932年 ローマ屈指の高級食材・珈琲店),Castroni Bottega del Gusto,Rome,Day 6,souvenir,41.909,12.457,不要,https://www.castronicoladirienzo.com/,https://maps.google.com/?q=Castroni+Via+Cola+di+Rienzo+Rome,バチカン近くの名店。オリジナル焙煎コーヒー豆、上質オリーブオイル、ドライトマト、トリュフペーストなどお土産の宝庫,souvenir-guide.html
fco_airport,ローマ・フィウミチーノ空港 (レオナルド・ダ・ヴィンチ国際空港),Aeroporto di Roma-Fiumicino (FCO),Rome,Day 7,hotel,41.7999,12.2462,不要（ツアー送迎バス利用）,https://www.adr.it/fiumicino,https://maps.google.com/?q=Rome+Fiumicino+Airport,イタリア出国・免税手続き（Tax Refund）カウンター。搭乗ゲート周辺にも上質な免税ブティックが充実,day7.html
kix_airport,関西国際空港 (KIX),Kansai International Airport,Osaka,Day 8,hotel,34.4347,135.244,不要,https://www.kansai-airport.or.jp/,https://maps.google.com/?q=Kansai+International+Airport,お帰りなさい！8日間の感動の新婚旅行の終着点。ここからお二人の新しい日常が始まります,day8.html
