item_id,category,name_ja,importance,description,mime_recommendation,packed_by_default
clo_07,clothing,着圧ソックス（フライト・バス移動用）,推奨,長時間のフライト（12h+）およびバス移動のむくみ防止,機内と就寝時に着用すると翌朝の足の軽さが劇的に変わります,yes
clo_08,clothing,ディナー用綺麗めワンピース / ジャケット,推奨,ハネムーンの記念ディナー用スマートカジュアル,高級店ではスニーカー・Tシャツを避け、綺麗めスタイルで特別な夜を演出,yes
clo_09,clothing,ルームウェア / パジャマ / 室内スリッパ,必須,イタリアのホテルにはパジャマ・スリッパがないことが多い,使い捨てスリッパを持参すると機内やホテルで大活躍します,yes
ele_01,electronics,Cタイプ / SEタイプ 変換プラグ（2〜3個）,必須,イタリアのコンセント（丸ピン2本）対応,ホテルでスマホ2台＋モバイルバッテリーを同時充電するため複数個必須,yes
ele_02,electronics,大容量モバイルバッテリー（10000〜20000mAh）,必須,Google Maps、カメラ撮影で急速にバッテリー消費,預け荷物は不可！必ず機内持ち込み手荷物に入れてください,yes
ele_03,electronics,複数ポート急速USB充電器（Type-C/A）,必須,1つのコンセントで2人分の機器を同時充電,20W〜65W対応のGaN急速充電器がコンパクトで便利,yes
ele_04,electronics,eSIM / 海外Wi-Fiルーター,必須,"イタリア周遊データ通信（Airalo, Ubigi, Holafly等）",お二人それぞれスマホにeSIMを設定しておくと万一のはぐれ時も安心連絡,yes
ele_05,electronics,予備充電ケーブル（頑丈なもの）,推奨,ケーブル断線対策,移動中のバッグ用とホテル据え置き用で2本あると快適,yes
hyg_01,hygiene_toilet,水に流せるポケットティッシュ（多め）,必須（みめ超推奨）,イタリアの公衆トイレ・バールの紙切れ対策,イタリアのトイレはトイレットペーパーがない確率が非常に高いです！常時2〜3個携帯,yes
hyg_02,hygiene_toilet,除菌ウェットティッシュ / アルコールジェル,必須（みめ超推奨）,食べ歩き前やトイレ使用後の手指消毒,ジェラートやパニーノで手がベタついた時にも必須,yes
hyg_03,hygiene_toilet,便座除菌シート / 流せる便座カバー,推奨,公衆トイレで便座がない・汚れている場合の対策,イタリアのトイレには便座（シート）自体がない場所も多いので重宝します,yes
hyg_04,hygiene_toilet,保湿リップクリーム / 高保湿ハンドクリーム,必須,ヨーロッパの乾燥気候・石畳の風対策,空気が日本より乾燥しているため、こまめな保湿が必須です,yes
hyg_05,hygiene_toilet,歯ブラシ・歯磨き粉セット,必須,イタリアのホテルには歯ブラシが置いてありません,日本の使い慣れた歯ブラシとミニ歯磨き粉を持参しましょう,yes
hyg_06,hygiene_toilet,ジップロック（大中小 各数枚）,必須,液体物パッキング、お菓子小分け、濡れ物入れ,帰国時のオリーブオイル・ワイン・コスメのスーツケース漏れ防止に絶大,yes
med_01,medicines,胃腸薬 / 整腸剤（ビオフェルミン・太田胃散等）,必須,オリーブオイル・お肉・チーズによる胃もたれ対策,イタリア料理は油分・塩分が多いため、毎日食後に飲むと快適に過ごせます,yes
med_02,medicines,総合感冒薬 / 解熱鎮痛剤（ロキソニン・イブ等）,必須,急な発熱・頭痛・喉の痛み対策,現地薬局（Farmacia）は言葉の壁があるため日本の常備薬が安心,yes
med_03,medicines,酔い止め薬（アネロン等）,推奨,長距離バス移動（アペニン山脈越え）＆ベネチアのゴンドラ,ゴンドラや山道バスで酔いやすい方は乗車30分前に服用を,yes
med_04,medicines,絆創膏 / キズパワーパッド,必須,石畳歩きによる靴擦れ対策,かかとや足指に靴擦れができたらすぐ貼れるよう持ち歩きを,yes
med_05,medicines,湿布 / 足用冷却シート（休足時間）,推奨,1日1〜2万歩歩いた後の夜のフットケア,ホテルでお風呂上がりに足裏やふくらはぎに貼って寝ると翌日快調！,yes
doc_01,honeymoon_docs,パスポート原本 ＆ カラーコピー（2部）,必須,身分証明書・免税手続き（Tax Refund）で提示,原本はセキュリティポーチへ。コピーはスーツケースとスマホ写真に保存,yes
doc_02,honeymoon_docs,クレジットカード（Visa / Mastercard 各自2枚以上）,必須,イタリアは95%以上タッチ決済。予備カード必須,限度額・海外キャッシング枠・不正検知ロック解除を渡航前に確認,yes
doc_03,honeymoon_docs,海外旅行保険証書（緊急連絡先メモ）,必須,急な発熱・盗難・手荷物遅延の補償,保険会社の日本語24時間救援窓口の電話番号を手帳に控える,yes
doc_04,honeymoon_docs,少額ユーロ紙幣（€5 / €10 / €20 合わせて€100程度）,必須,有料トイレ（€0.5〜1.5）、チップ、屋台、バール用,€50や€100の高額紙幣は小さな店で嫌がられます。小額紙幣を多めに両替,yes
doc_05,honeymoon_docs,HIS予約確認書 / Eチケット控え / バウチャー,必須,空港チェックイン・ホテルチェックイン用,紙のプリントアウトとスマホ保存（PDF）の両方を用意,yes
doc_06,honeymoon_docs,ボールペン（黒・2本）,必須,機内入国書類・免税書類記入用,海外の空港やホテルでペンを借りるのは意外と大変なので必須,yes
